title,video_category,tags,views,likes,dislikes
78557 and Proth Primes - Numberphile,Science/Tech,"numberphile|""prime numbers""|""proth prime""",188957,7394,75
The Making of Hela's Headdress from Thor: Ragnarok,Science/Tech,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",343273,4503,182
Let's Talk About Tesla Roadster 2020!,Science/Tech,"Tesla Roadster|""Tesla Roadster 2.0""|""Roadster 2""|""2020 Tesla Roadster""|""2020 Roadster""|""fastest productioncar""|""0-60""|""Tesla Roadster launch""|""Tesla roadster""|""Tesla Roadster 2.5""|""MKBHD""|""Tesla launch""|""Tesla Roadster vs""|""Roadster vs""|""Roadster 0-60""",2280611,84882,2682
"What's new, Atlas?",Science/Tech,"Robotics|""Humanoid Robots""|""Legged Locomotion""|""Dynamic robots""|""Boston Dynamics""",8533826,180591,4104
What Is The Most Dangerous Drug In The World? ft. In A Nutshell (Kurzgesagt),Science/Tech,"Most dangerous drug|""Most lethal drug""|""Is alcohol dangeorus""|""science of drugs""|""war on drugs""|""your brain on drugs""|""your brain on heroin""|""is heroin the most dangerous drug""|""fentanyl""|""opioid crisis""|""is alcohol bad for you""|""alcohol poisoning""|""harm reduction""|""drug related crime""|""what drugs are legal""|""how to assess risk""|""why are drugs addictive""|""what are drugs""|""ld50""|""prescription drugs""|""lil peep""|""drug overdose""",998296,40745,613
Google Pixel Buds review,Science/Tech,"pixel buds|""google pixel buds""|""google pixel buds review""|""wireless earbuds""|""review""|""google assistant""|""airpods""|""translate""|""translation""|""the verge""|""verge""|""sean o'kane""|""google""",343860,6546,404
Is the Surface Book 2 a MacBook Pro Killer?,Science/Tech,"surface book|""surface book 2""|""microsoft surface book 2""|""microsoft surface book""|""surface""|""microsoft surface""|""macbook""|""macbook pro""|""surface book 2 review""|""new surface book""|""new surface""|""microsoft""|""windows 10""|""apple""|""laptop""|""tablet""|""review""|""windows""|""tech""|""austin evans""",429721,14372,926
The truth about the Apple iPhone X - Review!,Science/Tech,"iPhone X Review|""iPhone 10 Review""|""iPhone 10""|""iphone x""|""iphone x unboxing""|""iphone x review""|""unboxing""|""review""|""iphone 2017""|""apple iphone x""|""iphone x hands on""|""iphone x vs""|""iphone x vs iphone 8""|""2017""|""apple""|""iphone x specs""|""new iphone""|""iphone 10""|""iphone""|""animoji""|""iphone 10 review""|""iphone x vs 8""|""face id""|""smartphone""|""iPhone X Camera""|""iphone x vs iphone 8 plus""|""iphone ten""",616420,23599,1233
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"Face ID Fail|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""|""Ten-Year-Old""|""10 year old""|""10 year old iphone x""|""10-year-old iphone x""|""10 year old unlocked iphone x""|""iphone x""|""unlocks""|""mom""|""unlocked""|""iphone""|""staten island""|""boy""|""staten island boy""|""5th grader""|""10 year old unlocks iphone""|""kid""",2056950,11386,5874
Peephole Reverser? | 9 Pointless Tech Gadgets!,Science/Tech,"tech|""gadgets""|""new""|""2017""|""pointless tech gadgets""|""apple""|""smart product""|""cool gadgets""|""new gadget""|""weird things online""|""tech under""|""tech invention""|""technology""|""unbox""|""unboxing""|""on amazon""|""reacting to""|""family friendly""|""inventions""|""gadgets from""|""things on amazon""|""shopping gadget""|""latest tech""|""weird tech""|""gag gift""|""gift idea""|""kids""|""gift""|""mathias""|""matthias""|""matthiasiam""|""hi5 studios""|""#M757""",862532,20024,907
How Pencils Are Made,Science/Tech,"pencils|""how it's made""|""science channel""|""design""|""factory""|""INSIDER""|""INSIDER design""|""business insider""|""tech insider""",247839,4145,117
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",3716275,43697,45910
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",1002346,22250,2719
Making Sandals with Zip-Ties and a Laser,Science/Tech,"laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",175608,7612,103
Star Wars & littleBits Droid Inventor Kit: Movement,Science/Tech,"littleBits|""starwars""|""inventorswanted""|""droid""|""thelastjedi""|""r2d2""|""r2d2toy""|""toys""|""holiday""|""giftguide""|""tech""|""education""|""forceawakens""",1616,16,1
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",1251577,28951,1146
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",429830,22885,141
"What's new, Atlas?",Science/Tech,"Robotics|""Humanoid Robots""|""Legged Locomotion""|""Dynamic robots""|""Boston Dynamics""",9421291,191296,4403
Let's Talk About Tesla Roadster 2020!,Science/Tech,"Tesla Roadster|""Tesla Roadster 2.0""|""Roadster 2""|""2020 Tesla Roadster""|""2020 Roadster""|""fastest productioncar""|""0-60""|""Tesla Roadster launch""|""Tesla roadster""|""Tesla Roadster 2.5""|""MKBHD""|""Tesla launch""|""Tesla Roadster vs""|""Roadster vs""|""Roadster 0-60""",2638137,91307,3043
Tesla Semi truck and Roadster event in 9 minutes,Science/Tech,"Tesla|""Tesla truck""|""Tesla semi truck""|""self-driving""|""autonomous""|""trucking""|""Elon Musk""|""semi""|""roadster""|""tesla roadster""|""2017 roadster""",1923738,35159,843
